date,Year,Month,Day,cost,clicks,cpc,num_kw,searches,conv, , , , , , , , , , , , , , , , , , , 
2017-12-19,2017,12,19,7219.51999406,10627,0.6793563559,99286,331567.49760129,122,,,,,,,,,,,,,,,,,,,
2017-12-20,2017,12,20,8242.31998986,11447,0.7200419315,97854,320144.68096115,136,,,,,,,,,,,,,,,,,,,
2017-12-21,2017,12,21,7968.23999091,10775,0.7395118321,93688,304643.46782119,125,,,,,,,,,,,,,,,,,,,
2017-12-22,2017,12,22,5952.88999932,8220,0.7241958637,78269,262726.74130804,123,,,,,,,,,,,,,,,,,,,
2017-12-23,2017,12,23,4283.44999748,6119,0.7000245134,58380,193867.16784036,76,,,,,,,,,,,,,,,,,,,
2017-12-24,2017,12,24,2956.41999414,4258,0.6943212762,47186,158053.28537926,47,,,,,,,,,,,,,,,,,,,
2017-12-25,2017,12,25,3918.49999476,5720,0.6850524466,52405,177509.31607565,62,,,,,,,,,,,,,,,,,,,
2017-12-26,2017,12,26,8620.34998296,11797,0.7307239114,91565,333518.80545442,153,,,,,,,,,,,,,,,,,,,
2017-12-27,2017,12,27,8943.11999461,12603,0.7096024752,101068,373515.90439482,126,,,,,,,,,,,,,,,,,,,
2017-12-28,2017,12,28,7760.68999369,11380,0.6819586989,99319,434018.99002023,116,,,,,,,,,,,,,,,,,,,
2017-12-29,2017,12,29,7220.99999353,10727,0.6731611815,91741,346301.43350699,139,,,,,,,,,,,,,,,,,,,
2017-12-30,2017,12,30,5016.91999643,7944,0.6315357498,73156,257673.61249197,83,,,,,,,,,,,,,,,,,,,
2017-12-31,2017,12,31,4107.74999269,6702,0.6129140544,65199,228894.42868444,70,,,,,,,,,,,,,,,,,,,
2018-01-01,2018,1,1,3791.24999754,6645,0.5705417604,67736,244107.66424017,91,,,,,,,,,,,,,,,,,,,
2018-01-02,2018,1,2,5100.87999473,8811,0.5789218017,99919,366429.09896656,127,,,,,,,,,,,,,,,,,,,
2018-01-03,2018,1,3,5861.48999863,9838,0.5958009757,106384,387465.1448411,131,,,,,,,,,,,,,,,,,,,
2018-01-04,2018,1,4,5448.84999447,9455,0.5762929661,102582,375200.56546459,121,,,,,,,,,,,,,,,,,,,
2018-01-05,2018,1,5,5276.41999803,9008,0.5857482236,102085,380142.47345859,114,,,,,,,,,,,,,,,,,,,
2018-01-06,2018,1,6,4181.6999975,7141,0.5855902531,75762,265094.34585845,68,,,,,,,,,,,,,,,,,,,
2018-01-07,2018,1,7,4819.42999821,8158,0.5907612158,83593,299488.81867192,93,,,,,,,,,,,,,,,,,,,
2018-01-08,2018,1,8,6849.90999218,11223,0.6103457179,119871,453845.96105526,135,,,,,,,,,,,,,,,,,,,
2018-01-09,2018,1,9,5556.42999387,9514,0.5840266969,115999,428930.42209749,104,,,,,,,,,,,,,,,,,,,
2018-01-10,2018,1,10,5141.19999457,8928,0.5758512539,113912,410891.17263786,107,,,,,,,,,,,,,,,,,,,
2018-01-11,2018,1,11,5835.07999973,10047,0.5807783418,115697,409994.14223388,152,,,,,,,,,,,,,,,,,,,
2018-01-12,2018,1,12,5689.25999576,10114,0.5625133474,115488,399471.9523267,143,,,,,,,,,,,,,,,,,,,
2018-01-13,2018,1,13,4906.37999562,8940,0.54881208,87996,292635.28002747,89,,,,,,,,,,,,,,,,,,,
2018-01-14,2018,1,14,4622.85999949,8622,0.5361702621,88643,305778.62011454,119,,,,,,,,,,,,,,,,,,,
2018-01-15,2018,1,15,6854.16999218,11913,0.5753521357,121727,425651.30882491,164,,,,,,,,,,,,,,,,,,,
2018-01-16,2018,1,16,7580.08999171,12538,0.6045693086,127891,457123.54190672,165,,,,,,,,,,,,,,,,,,,
2018-01-17,2018,1,17,8406.99999084,13177,0.6380056152,127204,452972.04856818,144,,,,,,,,,,,,,,,,,,,
2018-01-18,2018,1,18,7558.01998996,11419,0.6618810745,119307,431560.45925482,140,,,,,,,,,,,,,,,,,,,
2018-01-19,2018,1,19,7125.06999251,10891,0.6542163247,114009,412717.36917834,137,,,,,,,,,,,,,,,,,,,
2018-01-20,2018,1,20,5866.02999383,9462,0.6199566681,85501,287283.6213961,128,,,,,,,,,,,,,,,,,,,
2018-01-21,2018,1,21,6404.23999144,10445,0.6131393003,90799,311173.37945453,118,,,,,,,,,,,,,,,,,,,
2018-01-22,2018,1,22,8585.36998524,14128,0.6076847385,129990,481129.09628616,158,,,,,,,,,,,,,,,,,,,
2018-01-23,2018,1,23,7886.25998686,13064,0.6036635018,124266,469827.54001708,166,,,,,,,,,,,,,,,,,,,
2018-01-24,2018,1,24,8902.30999011,13910,0.6399935291,122866,481553.67162519,172,,,,,,,,,,,,,,,,,,,
2018-01-25,2018,1,25,9264.55999292,13982,0.6626062075,121340,483142.15189803,188,,,,,,,,,,,,,,,,,,,
2018-01-26,2018,1,26,8798.46998881,13510,0.6512561058,116957,441556.68418591,171,,,,,,,,,,,,,,,,,,,
2018-01-27,2018,1,27,6571.78999512,11438,0.5745576145,90153,309864.87359974,137,,,,,,,,,,,,,,,,,,,
2018-01-28,2018,1,28,6047.22999011,11091,0.5452375791,93479,335487.61972682,150,,,,,,,,,,,,,,,,,,,
2018-01-29,2018,1,29,7008.7999945,12642,0.554405948,133437,486786.3642574,160,,,,,,,,,,,,,,,,,,,
2018-01-30,2018,1,30,7926.27998991,13457,0.5890079505,124624,480564.66064349,161,,,,,,,,,,,,,,,,,,,
2018-01-31,2018,1,31,5017.22999671,8788,0.5709182973,89673,319048.09246423,101,,,,,,,,,,,,,,,,,,,
2018-02-01,2018,2,1,7095.8299956,11773,0.6027206316,117466,453905.1027144,118,,,,,,,,,,,,,,,,,,,
2018-02-02,2018,2,2,5425.06999172,9547,0.5682486636,107041,405377.34571004,115,,,,,,,,,,,,,,,,,,,
2018-02-03,2018,2,3,4079.06999689,7739,0.5270797257,81018,295159.10566008,94,,,,,,,,,,,,,,,,,,,
2018-02-04,2018,2,4,3988.83999116,7379,0.5405664712,79872,279119.64537572,86,,,,,,,,,,,,,,,,,,,
2018-02-05,2018,2,5,7108.50999413,12386,0.5739149035,125296,471600.35158662,166,,,,,,,,,,,,,,,,,,,
2018-02-06,2018,2,6,7099.25998783,12468,0.5693984591,123380,471196.09832108,148,,,,,,,,,,,,,,,,,,,
2018-02-07,2018,2,7,7076.40999304,12346,0.5731743069,121917,475946.0956801,142,,,,,,,,,,,,,,,,,,,
2018-02-08,2018,2,8,6477.66999375,11413,0.5675694378,118220,438615.96486013,145,,,,,,,,,,,,,,,,,,,
2018-02-09,2018,2,9,6128.43999959,10861,0.5642611177,114382,404670.21105746,155,,,,,,,,,,,,,,,,,,,
2018-02-10,2018,2,10,5624.5599941,10106,0.5565565005,89136,309815.29293037,129,,,,,,,,,,,,,,,,,,,
2018-02-11,2018,2,11,7392.31999245,12723,0.581020199,100087,344723.73807167,171,,,,,,,,,,,,,,,,,,,
2018-02-12,2018,2,12,9645.92999022,15981,0.6035873844,133471,501981.48918536,173,,,,,,,,,,,,,,,,,,,
2018-02-13,2018,2,13,7947.7199994,13734,0.578689384,125153,462372.51522014,167,,,,,,,,,,,,,,,,,,,
2018-02-14,2018,2,14,6760.53999358,12200,0.5541426224,115825,423624.85921184,138,,,,,,,,,,,,,,,,,,,
2018-02-15,2018,2,15,6572.90999697,12242,0.5369147196,119166,438635.67064397,93,,,,,,,,,,,,,,,,,,,
2018-02-16,2018,2,16,5396.98999435,10539,0.5120969726,107830,401254.12439768,96,,,,,,,,,,,,,,,,,,,
2018-02-17,2018,2,17,3750.12000049,7839,0.4783926522,79941,290810.88414621,65,,,,,,,,,,,,,,,,,,,
2018-02-18,2018,2,18,3603.45999753,7415,0.4859689815,79442,296268.19799675,55,,,,,,,,,,,,,,,,,,,
2018-02-19,2018,2,19,3846.05999835,8134,0.4728374721,101654,401497.67488267,63,,,,,,,,,,,,,,,,,,,
2018-02-20,2018,2,20,3559.35999465,7530,0.4726905703,101819,412625.90032407,64,,,,,,,,,,,,,,,,,,,
2018-02-21,2018,2,21,3568.99999768,7735,0.4614091788,105224,421534.86144592,63,,,,,,,,,,,,,,,,,,,
2018-02-22,2018,2,22,3897.29999735,8234,0.4733179496,109038,423841.36913615,67,,,,,,,,,,,,,,,,,,,
2018-02-23,2018,2,23,3523.18999923,7753,0.4544292531,100512,389141.32556529,75,,,,,,,,,,,,,,,,,,,
2018-02-24,2018,2,24,2725.33999866,6295,0.4329372516,72259,273068.13148193,50,,,,,,,,,,,,,,,,,,,
2018-02-25,2018,2,25,3526.34999592,7987,0.4415112052,82643,312486.86454447,57,,,,,,,,,,,,,,,,,,,
2018-02-26,2018,2,26,4820.24999718,10679,0.4513765331,119584,470971.01306228,102,,,,,,,,,,,,,,,,,,,
2018-02-27,2018,2,27,4694.03999627,10239,0.4584471136,115124,454769.64413516,67,,,,,,,,,,,,,,,,,,,
2018-02-28,2018,2,28,3648.14999916,8355,0.4366427288,100662,401692.45442917,64,,,,,,,,,,,,,,,,,,,
2018-03-01,2018,3,1,3345.81999975,8113,0.4124023172,99456,415484.16176689,66,,,,,,,,,,,,,,,,,,,
2018-03-02,2018,3,2,3180.36999935,7777,0.4089456088,98039,391544.81318955,69,,,,,,,,,,,,,,,,,,,
2018-03-03,2018,3,3,2893.67999772,7057,0.4100439277,76269,291101.30362596,62,,,,,,,,,,,,,,,,,,,
2018-03-04,2018,3,4,3710.99999575,8509,0.4361264538,84399,324236.05938971,58,,,,,,,,,,,,,,,,,,,
2018-03-05,2018,3,5,5399.89999377,11812,0.4571537414,121472,490257.94097761,98,,,,,,,,,,,,,,,,,,,
2018-03-06,2018,3,6,4937.65999377,10755,0.4591036721,117468,473830.44588865,85,,,,,,,,,,,,,,,,,,,
2018-03-07,2018,3,7,5454.67999382,11596,0.4703932385,115747,472627.18001164,104,,,,,,,,,,,,,,,,,,,
2018-03-08,2018,3,8,5594.5099975,11711,0.4777141147,113434,463600.93371129,109,,,,,,,,,,,,,,,,,,,
2018-03-09,2018,3,9,4996.95999222,10464,0.4775382256,105874,425145.71269788,98,,,,,,,,,,,,,,,,,,,
2018-03-10,2018,3,10,4118.75999539,8677,0.4746755786,78791,303328.72524445,71,,,,,,,,,,,,,,,,,,,
2018-03-11,2018,3,11,4294.94999513,9254,0.4641182186,83244,320034.65518437,110,,,,,,,,,,,,,,,,,,,
2018-03-12,2018,3,12,6609.35999319,13412,0.4927945119,119292,500967.8965448,108,,,,,,,,,,,,,,,,,,,
2018-03-13,2018,3,13,6411.73999025,12858,0.4986576443,117156,484715.27852608,117,,,,,,,,,,,,,,,,,,,
2018-03-14,2018,3,14,5242.54999606,10855,0.4829617684,115477,470622.95365867,61,,,,,,,,,,,,,,,,,,,
2018-03-15,2018,3,15,4497.05999602,9515,0.4726284809,105816,427192.20286475,75,,,,,,,,,,,,,,,,,,,
2018-03-16,2018,3,16,3781.40999668,8080,0.4679962867,97084,384354.61290501,64,,,,,,,,,,,,,,,,,,,
